The Resident Evil series was created by which company?,Sega,Capcom,Bethesda,EA,Capcom
The Persona series is a spinoff series of which other series?,Megami Tensei,Danganropa,Devil Summonor,Silent Hill,Megami Tensei
Which of these series of games is NOT made by Paradox?,Hearts of Iron,Europa Universalis,Tropico,Crusader Kings,Tropico
Lucas Pope created which indie game?,Stardew Valley,Papers Please,Lethal Company,Hollow Knight,Papers Please
Which of these games came out earliest in 2026?,Slay the Spire II,Pragmata,Forza Horizon 6,Resident Evil Requiem,Resident Evil Requiem
Oblivion Remastered Persona 3 Reload and Fortnite were created using which game engine?,Unity,Unreal,Godot,Lib GDX,Unreal
Call of Duty mobile and Escape from Tarkov were made with which game engine?,Unity,Unreal,Godot,GameMaker,Unity
The New California Republic is a country in which game series?,Wolfenstein,Fallout,DOOM,Elder Scrolls,Fallout
Which of these video games was not created with the Godot engine?,Brotato,Buckshot Roulette,Slay the Spire II,Among Us,Among Us


