Which Greek mountain is known for its monastic community and not permitting women to enter?,Mount Vesuvius,Mount Athos,Mount Olympus,Mount Everest,Mount Athos
In addition to women Mount Athos prohibited this ethnic group from entering until 2000?,English,Italian,Catalan,Turkish,Catalan
Elizabeth I claimed which office of the Church of England with the 1558 Act of Supremacy?,Archbishop of Canterbury,Pope,Supreme Governor,Supreme Head,Supreme Governor
In contrast, Henry VIII claimed which title in 1534 when splitting with Rome?,Supreme Head,Supreme Governor,Archbishop of Canterbury,Patriarch,Supreme Head
What is the name of the suspected lover of Elizabeth I and governor general of the Netherlands (United Provinces)?,John Dudley,Francis Walsingham,Robert Dudley,Philip II,Robert Dudley
Elizabeth I was succeeded as the monarch of England and Ireland by which King of Scots belonging to the Stuart dynasty?,James VI/I,James II/VII,Anne,Edward VII,James VI/I
Which country is the only one to have Catalan as the sole official language?,Spain,Portugal,Andorra,Malta,Andorra
Which island country was previously called Ceylon?,Taiwan,Sri Lanka,Madagascar,Iceland,Sri Lanka
Henry VIII captured which French town in 1544 that was sold back to France a few years later?,Calais,Boulogne,Caen,Nantes,Boulogne
Edward VI named which woman as his heir to the throne of England (and Ireland)?,Jane Grey,Mary Tudor,Elizabeth Tudor,Mary Stuart,Jane Grey
Henry VII married which woman of the House of York?,Elizabeth,Mary,Anne,Catherine,Elizabeth
Mary I burned which Archbishop of Canterbury and protestant martyr at the stake?,Thomas Wolsey,Thomas More,Thomas Cromwell,Thomas Cranmer,Thomas Cranmer
Despite later splitting from the Catholic Church, Henry VIII wrote the Defence of the Seven Sacraments as a response to which Protestant reformer excommunicated in 1521?,Ulrich Zwingli,Martin Luther,John Calvin,John Knox,Martin Luther
Mary I married which King of Spain and later King of Portugal?,Ferdinand of Aragon,Philip I,Philip II,Juan Carlos,Philip II
The 1549 Prayer Book rebellion occured in which part of England?,Devon and Cornwall,Yorkshire,East Anglia,London,Devon and Cornwall










